DATESH	TIME	BLOCKNUMBER	TRANSACTIONINDEX	FROM	TO	ETHER	GASCOST	PRICE	ISERROR	ARTICULATED
2017-05-24	5:20:27 UTC	3760416	27	0x839395e20bbb182fa440d08f850e6c7a8f6f0780	0x6090a6e47849629b7245dfa1ca21d94cd15878ef	0.000000000000000000	0.000199838000000000	183.490000000000000000	0	0x983b94fb3b0c9ac05370f77de3f92fb1780d1455a39336b73014493b35d83cff95e8fbda
2017-05-24	5:28:02 UTC	3760446	80	0x839395e20bbb182fa440d08f850e6c7a8f6f0780	0x6090a6e47849629b7245dfa1ca21d94cd15878ef	0.000000000000000000	0.000169708000000000	184.840000000000000000	0	0x983b94fb40f4f826fd349b61285bdc1b941eb2669ab20c9f0cec41a1b35a498500cfc511
2017-05-24	5:30:31 UTC	3760460	12	0x839395e20bbb182fa440d08f850e6c7a8f6f0780	0x6090a6e47849629b7245dfa1ca21d94cd15878ef	0.000000000000000000	0.000169836000000000	184.140000000000000000	0	0x983b94fb2478cb051698b25716422721f9e2a652f9b9154dd2c710f502ee44b774c2a907
2017-05-24	5:38:20 UTC	3760493	33	0x839395e20bbb182fa440d08f850e6c7a8f6f0780	0x6090a6e47849629b7245dfa1ca21d94cd15878ef	0.000000000000000000	0.000199838000000000	185.830000000000000000	0	0x983b94fb14144e555b3984493fd3c5a7c410949f4d109a88b5f7ea387f6b026aa47be0c8
2017-05-24	6:27:00 UTC	3760660	53	0x839395e20bbb182fa440d08f850e6c7a8f6f0780	0x6090a6e47849629b7245dfa1ca21d94cd15878ef	7.880000000000000000	0.000836744000000000	186.100000000000000000	0	0xce92dcedab00d414b09e30887b89d078ca6dd5bc1cd558af0df518d95650b7640d7f73b1
2017-05-24	8:19:20 UTC	3761082	40	0x839395e20bbb182fa440d08f850e6c7a8f6f0780	0x7b9f886f0dbeac9a38a8b40135abdbe3c398f7a2	6.420000000000000000	0.000042000000000000	185.410000000000000000	0	0x
2017-05-25	9:26:41 UTC	3764478	36	0x0004ff85a8daf0a7a6cd069a5b38508b9b3ec0c5	0x6090a6e47849629b7245dfa1ca21d94cd15878ef	0.000000000000000000	0.001030780000000000	189.000000000000000000	0	0x47872b42472c9634192e7f3352d0e606f1afc76bebb1e28726540e74a68bfb5a3968673e000000000000000000000000000000000000000000000001487cbb97497f0000725931faa700285f5325e25ce192a7f39348c46b9eba85a7ee9502d5d34db299
2017-05-25	4:50:38 UTC	3765732	13	0x839395e20bbb182fa440d08f850e6c7a8f6f0780	0x6090a6e47849629b7245dfa1ca21d94cd15878ef	0.000000000000000000	0.000162360000000000	198.870000000000000000	0	0x47872b4202f0df1ea730b83dac3d892fecdf8975226203c192ac110cce1828ac6e0f1afe0000000000000000000000000000000000000000000000006d5b623ffe14000013a01fd940f4a4842fd60478ca9c68a7684ed39b6de959c23bb646545308bf4e
2017-05-25	4:59:51 UTC	3765771	46	0x839395e20bbb182fa440d08f850e6c7a8f6f0780	0x6090a6e47849629b7245dfa1ca21d94cd15878ef	8.330000000000000000	0.000836872000000000	197.300000000000000000	0	0xce92dced31501b493d3a9ae14baa363fee2420028ac3b5eb2274f59e5940f25f18d7b071
2017-05-25	5:08:31 UTC	3765801	20	0x839395e20bbb182fa440d08f850e6c7a8f6f0780	0x6090a6e47849629b7245dfa1ca21d94cd15878ef	0.000000000000000000	0.000199838000000000	198.130000000000000000	0	0x983b94fb1de3d6144a9561a799b6184a491af26974e91398cd896cf0efed67e188fbbf73
2017-05-25	5:14:45 UTC	3765822	91	0x839395e20bbb182fa440d08f850e6c7a8f6f0780	0x6090a6e47849629b7245dfa1ca21d94cd15878ef	0.000000000000000000	0.000186438000000000	198.250000000000000000	0	0x983b94fb179b0679d7611a186ab6232550720fdb8b60d91847f5f1a4a39297b9e76d93ad
2017-05-25	5:19:51 UTC	3765842	57	0x839395e20bbb182fa440d08f850e6c7a8f6f0780	0x6090a6e47849629b7245dfa1ca21d94cd15878ef	0.000000000000000000	0.000199838000000000	198.530000000000000000	0	0x983b94fb3e39556de8aa50a3562f8620c22c30402a6ab2144a9137a00fef7423bbcf3fb2
2017-05-25	5:31:11 UTC	3765896	10	0x839395e20bbb182fa440d08f850e6c7a8f6f0780	0x6090a6e47849629b7245dfa1ca21d94cd15878ef	18.880000000000000000	0.000836872000000000	196.010000000000000000	0	0xce92dcede9992fe1ab2d7ecc385a10fce3d72df8e632d738563de161de7887eb6a125070
2017-05-26	3:40:03 UTC	3770884	44	0x839395e20bbb182fa440d08f850e6c7a8f6f0780	0x6090a6e47849629b7245dfa1ca21d94cd15878ef	0.000000000000000000	0.000096442000000000	174.500000000000000000	0	0x47872b42521e318892c3f2f011538a1e033f8c8cd8f85dd97e767cd081efe04f127759d400000000000000000000000000000000000000000000000106033bf82f600000457bd3889fdeba1a1d059ff6538927793f0ec4b532059ad30d30fa45a718d1ce
2017-05-26	4:13:02 UTC	3771000	44	0x839395e20bbb182fa440d08f850e6c7a8f6f0780	0x6090a6e47849629b7245dfa1ca21d94cd15878ef	0.000000000000000000	0.000162232000000000	168.990000000000000000	0	0x47872b4218e7367734879fa77f927a2363ffb587e820968d62afae11f9c81d65726ac9570000000000000000000000000000000000000000000000009d3c3ef8992d00000f40e9788b155c31a75ed9e39949bcd6cd8c1c1d3de44c17cf338b2c5b00499d
2017-05-26	4:42:29 UTC	3771113	26	0x839395e20bbb182fa440d08f850e6c7a8f6f0780	0x6090a6e47849629b7245dfa1ca21d94cd15878ef	0.000000000000000000	0.000162488000000000	174.820000000000000000	0	0x47872b42550ea1042f0829559c1c42defd9e2304320c4467ce79212bad62e7011d661257000000000000000000000000000000000000000000000002e5c48bcf4ca10000bf29cc1d97deba11c851c00195a0aed7c51624547f7c3d40110ec82dfd1931e3
2017-05-26	5:53:55 UTC	3771386	7	0x839395e20bbb182fa440d08f850e6c7a8f6f0780	0x6090a6e47849629b7245dfa1ca21d94cd15878ef	0.000000000000000000	0.000119730000000000	172.000000000000000000	0	0xede8acdb529c1a63e3b31ad50b32173df99d372f701e5d1c2725f88dfbfae55d50e47349
2017-05-26	5:53:55 UTC	3771386	10	0x839395e20bbb182fa440d08f850e6c7a8f6f0780	0x6090a6e47849629b7245dfa1ca21d94cd15878ef	3.000000000000000000	0.000836872000000000	172.000000000000000000	0	0xce92dcedc87242a08b4befc741758b3ee7039b6183b1f0273ff3d38977075bf8db248caa
2017-05-26	6:20:10 UTC	3771482	28	0x839395e20bbb182fa440d08f850e6c7a8f6f0780	0x6090a6e47849629b7245dfa1ca21d94cd15878ef	0.000000000000000000	0.000119602000000000	174.560000000000000000	0	0xede8acdb5c1f54bf588e19da2ca76600f143d0b7b90a5cc210d98d3994e7503dbbcc8524
2017-05-26	6:20:55 UTC	3771485	26	0x839395e20bbb182fa440d08f850e6c7a8f6f0780	0x6090a6e47849629b7245dfa1ca21d94cd15878ef	1.110000000000000000	0.000836744000000000	174.560000000000000000	0	0xce92dced67f4f2e76e8c0f722173bcf387c33be670f654ce00225ff2585b3e5ea64e6ecf
2017-05-26	9:56:05 UTC	3772373	22	0x839395e20bbb182fa440d08f850e6c7a8f6f0780	0x6090a6e47849629b7245dfa1ca21d94cd15878ef	0.000000000000000000	0.000119730000000000	158.000000000000000000	0	0xede8acdb195b6229afe8fc414b06b8cd9fa3380d4a7df8088cb791fb88961747df7c62eb
2017-05-26	9:56:05 UTC	3772373	34	0x839395e20bbb182fa440d08f850e6c7a8f6f0780	0x6090a6e47849629b7245dfa1ca21d94cd15878ef	1.220100000000000000	0.000836616000000000	158.000000000000000000	0	0xce92dcede64dae4cb86be72f31f4710e0004dc8f371110f17a9faf80b88a5ad2d64a8e00
2017-05-26	1:13:23 UTC	3772649	26	0x839395e20bbb182fa440d08f850e6c7a8f6f0780	0x314159265dd8dbb310642f98f50c066173c1259b	0.000000000000000000	0.000094222000000000	154.990000000000000000	0	0x1896f70a9a12d6ec031712d3df07b0749d3c4185823e435932a8d5cd535e1d10d9fff1570000000000000000000000001da022710df5002339274aadee8d58218e9d6ab5
2017-05-26	1:16:14 UTC	3772660	8	0x839395e20bbb182fa440d08f850e6c7a8f6f0780	0x1da022710df5002339274aadee8d58218e9d6ab5	0.000000000000000000	0.000099106000000000	156.700000000000000000	0	0xd5fa2b009a12d6ec031712d3df07b0749d3c4185823e435932a8d5cd535e1d10d9fff157000000000000000000000000b94c53b0e67fabac3d97173482663ef597d4174a
2017-05-27	3:55:48 UTC	3774223	30	0xdeade017f919060cc7b324b06c5eccb2388ffb42	0xf03d040eab5df9656c394425ea087f5ff4afc29f	0.000000000000000000	0.000051002013000000	145.100000000000000000	0	0xaa98cba3000000000000000000000000839395e20bbb182fa440d08f850e6c7a8f6f07800d375b2fc090501793d2edb8ee7e4b7595232f99bbd933e06c8f3948c43a6065
2017-05-27	9:06:03 UTC	3777655	19	0x839395e20bbb182fa440d08f850e6c7a8f6f0780	0xb94c53b0e67fabac3d97173482663ef597d4174a	0.001000000000000000	0.002287980000000000	151.990000000000000000	0	0x
2017-05-28	8:22:50 UTC	3780652	44	0x839395e20bbb182fa440d08f850e6c7a8f6f0780	0x6090a6e47849629b7245dfa1ca21d94cd15878ef	0.000000000000000000	0.000162232000000000	166.660000000000000000	0	0x47872b421bfdad21df1d8d659d50082473dda00e53c30ebd1a02ffe53acfd6561ddb22e100000000000000000000000000000000000000000000000000b1a2bc2ec5000090fd2b105dc076ec3ac3bca911ab9d7cc64aa018be61df702e4dc199017b9cfa
2017-05-28	8:52:09 UTC	3783047	13	0x839395e20bbb182fa440d08f850e6c7a8f6f0780	0x6090a6e47849629b7245dfa1ca21d94cd15878ef	38.880000000000000000	0.000836872000000000	155.800000000000000000	0	0xce92dced4219a1ff369e673f24ebc1a02ae7fe91fa26bfd9766a0655df8f740f5eb726a6
2017-05-29	9:26:14 UTC	3786385	8	0x839395e20bbb182fa440d08f850e6c7a8f6f0780	0x6090a6e47849629b7245dfa1ca21d94cd15878ef	0.000000000000000000	0.000162232000000000	164.600000000000000000	0	0x47872b426000f78e9958a6fc66b97d572de534620fbc5ad717050e421b6e878c8675b6d4000000000000000000000000000000000000000000000000739a1adda3010000fa2aefc4ceb1a4d636cb6f0f583d09847983e14663acdcbbd2b7b8d54153f90e
2017-05-29	3:36:45 UTC	3787399	27	0x839395e20bbb182fa440d08f850e6c7a8f6f0780	0x6090a6e47849629b7245dfa1ca21d94cd15878ef	0.000000000000000000	0.000199838000000000	167.100000000000000000	0	0x983b94fb3256bbad2d17d9680d3c787f688a79ac34d39e3546b004ef56b2ecdac4d22018
2017-05-29	5:08:53 UTC	3787756	6	0x839395e20bbb182fa440d08f850e6c7a8f6f0780	0x314159265dd8dbb310642f98f50c066173c1259b	0.000000000000000000	0.000094222000000000	169.600000000000000000	0	0x1896f70a239615446046a079ef906caa4ecad7178a0d52d56909a966dd4024609c90c3560000000000000000000000001da022710df5002339274aadee8d58218e9d6ab5
2017-05-30	8:09:01 UTC	3791669	18	0x839395e20bbb182fa440d08f850e6c7a8f6f0780	0x1da022710df5002339274aadee8d58218e9d6ab5	0.000000000000000000	0.000099106000000000	209.910000000000000000	0	0xd5fa2b00239615446046a079ef906caa4ecad7178a0d52d56909a966dd4024609c90c3560000000000000000000000002c3cc0f8dede2eccae43380ecf29b61fa6d10dca
2017-05-30	8:12:34 UTC	3791683	26	0x839395e20bbb182fa440d08f850e6c7a8f6f0780	0x6090a6e47849629b7245dfa1ca21d94cd15878ef	0.000000000000000000	0.000162360000000000	212.770000000000000000	0	0x47872b42529c1a63e3b31ad50b32173df99d372f701e5d1c2725f88dfbfae55d50e4734900000000000000000000000000000000000000000000000029a2241af62c0000a565119cf702bb7b079d9b57170cdb780880e0a0829c9c683e6c7094143bce71
2017-05-30	8:18:27 UTC	3791704	14	0x839395e20bbb182fa440d08f850e6c7a8f6f0780	0x6090a6e47849629b7245dfa1ca21d94cd15878ef	0.000000000000000000	0.000162232000000000	212.300000000000000000	0	0x47872b425c1f54bf588e19da2ca76600f143d0b7b90a5cc210d98d3994e7503dbbcc85240000000000000000000000000000000000000000000000000f67831e74af0000bfb259aebe265d16b634f0309f690686677223f9ddd4af3bc10cc1d516453306
